Application Date,Decision Date,Visa Type,Applicant Nationality,Processing Center,Season,Application Complexity,Document Completeness,Expedited Request,Processing Time (Days),Visa Status
2024-01-21,2024-03-10,Student,Brazil,Paris,Peak,0.0,,0.0,49,Approved
2024-10-20,2024-11-01,Business,Australia,Beijing,Off-Peak,0.0,1.0,1.0,12,Approved
2024-07-06,2024-08-27,Business,India,Delhi,Peak,0.0,0.0,1.0,52,Approved
2024-11-24,2025-01-27,Business,India,Beijing,Peak,0.0,0.0,0.0,64,Approved
2024-09-20,2024-12-18,Work,France,Mumbai,Off-Peak,1.0,0.0,1.0,89,Approved
2024-07-09,2024-09-16,Work,USA,London,Off-Peak,1.0,1.0,0.0,69,Denied
2024-10-22,2024-12-14,Business,UK,London,Peak,1.0,0.0,1.0,53,Approved
2024-10-27,2024-12-17,Business,Brazil,Berlin,Peak,0.0,0.0,0.0,51,Approved
2024-10-15,2025-01-05,Student,Germany,Beijing,Peak,1.0,0.0,0.0,82,Approved
2024-03-02,2024-05-18,Business,Brazil,Mumbai,Peak,1.0,0.0,0.0,77,Denied
2024-09-11,2024-10-12,Tourist,UK,London,Peak,0.0,0.0,,31,Approved
2024-04-05,2024-04-24,Tourist,Germany,Sydney,Off-Peak,0.0,0.0,1.0,19,Denied
2024-03-06,2024-03-21,Business,France,Sydney,Peak,0.0,1.0,1.0,15,Approved
2024-12-13,2024-12-22,Business,Brazil,London,Off-Peak,0.0,1.0,1.0,9,Approved
2024-05-16,2024-06-11,Business,France,Delhi,Peak,0.0,1.0,1.0,26,Approved
2024-02-21,2024-04-24,Work,Australia,Delhi,Off-Peak,0.0,1.0,0.0,63,Approved
2024-12-08,2024-12-30,Tourist,Germany,Delhi,Off-Peak,1.0,1.0,1.0,22,Approved
2024-07-21,2024-09-14,Work,Australia,London,Off-Peak,0.0,1.0,0.0,55,Approved
2024-05-03,2024-08-01,Work,Germany,Sydney,Off-Peak,1.0,,0.0,90,Approved
2024-07-17,2024-08-27,Student,China,Beijing,Peak,0.0,1.0,1.0,41,Denied
2024-10-24,2025-01-19,Student,Brazil,Delhi,Peak,1.0,0.0,0.0,87,Approved
2024-02-06,2024-03-14,Tourist,China,Delhi,Off-Peak,1.0,1.0,0.0,37,Approved
2024-03-15,2024-03-19,Business,Australia,London,Off-Peak,0.0,1.0,,4,Approved
2024-12-03,2025-02-05,Work,India,Beijing,Peak,0.0,1.0,1.0,64,Approved
2024-05-14,2024-05-27,Tourist,USA,Paris,Off-Peak,,1.0,1.0,13,Approved
2024-02-20,2024-04-08,Student,USA,London,Off-Peak,1.0,1.0,0.0,48,Denied
2024-05-26,2024-08-05,Student,Australia,Delhi,Peak,1.0,0.0,1.0,71,Approved
2024-02-06,2024-02-18,Tourist,USA,Paris,Off-Peak,0.0,1.0,0.0,12,Approved
2024-11-18,2024-12-25,Student,France,Paris,Off-Peak,0.0,0.0,1.0,37,Approved
2024-06-03,2024-06-25,Business,China,Sydney,Off-Peak,0.0,1.0,0.0,22,Denied
2024-11-01,2024-11-17,Business,UK,Paris,Off-Peak,,,0.0,16,Approved
2024-05-22,2024-06-30,Business,India,London,Off-Peak,1.0,1.0,0.0,39,Approved
2024-12-07,2025-02-11,Work,UK,London,Peak,1.0,1.0,1.0,66,Approved
2024-04-12,2024-05-08,Tourist,Australia,Paris,Off-Peak,1.0,1.0,0.0,26,Denied
2024-05-26,2024-06-19,Business,Brazil,Paris,Off-Peak,1.0,1.0,1.0,24,Approved
2024-05-08,2024-07-19,Work,France,London,Peak,0.0,0.0,,72,Denied
2024-07-10,2024-08-03,Tourist,Australia,Paris,Peak,,1.0,0.0,24,Approved
2024-03-09,2024-04-10,Student,France,London,Peak,0.0,1.0,1.0,32,Approved
2024-08-09,2024-11-12,Work,China,Paris,Peak,1.0,0.0,,95,Approved
2024-11-20,2025-01-28,Student,China,Mumbai,Peak,1.0,,,69,Approved
2024-06-11,2024-07-10,Business,Australia,Beijing,Off-Peak,1.0,1.0,1.0,29,Approved
2024-01-12,2024-03-23,Tourist,India,Mumbai,Peak,1.0,,0.0,71,Approved
2024-04-24,2024-06-19,Work,Australia,Paris,Off-Peak,1.0,1.0,1.0,56,Approved
2024-12-22,2025-02-06,Business,Brazil,Delhi,Peak,0.0,0.0,1.0,46,Approved
2024-07-01,2024-08-05,Tourist,UK,Sydney,Off-Peak,1.0,0.0,1.0,35,Denied
2024-06-25,2024-08-10,Business,Australia,Delhi,Off-Peak,,0.0,0.0,46,Approved
2024-03-09,2024-06-05,Work,UK,Berlin,Peak,1.0,0.0,1.0,88,Approved
2024-08-10,2024-08-30,Business,India,Sydney,Peak,0.0,1.0,1.0,20,Approved
2024-08-17,2024-10-25,Business,India,Mumbai,Off-Peak,1.0,0.0,0.0,69,Approved
2024-12-30,2025-03-26,Work,France,Paris,Peak,1.0,0.0,1.0,86,Denied
2024-06-30,2024-08-09,Business,USA,Berlin,Peak,0.0,0.0,1.0,40,Approved
2024-11-12,2024-12-04,Tourist,China,Berlin,Off-Peak,1.0,1.0,1.0,22,Approved
2024-04-26,2024-07-13,Student,Brazil,Delhi,Peak,1.0,0.0,1.0,78,Denied
2024-08-14,2024-10-04,Business,USA,Paris,Peak,1.0,0.0,1.0,51,Denied
2024-01-12,2024-03-09,Student,India,Paris,Off-Peak,1.0,0.0,1.0,57,Denied
2024-11-11,2024-12-06,Business,China,Berlin,Off-Peak,1.0,1.0,1.0,25,Approved
2024-08-07,2024-09-30,Student,India,Delhi,Peak,0.0,,0.0,54,Approved
2024-08-29,2024-09-18,Tourist,UK,Delhi,Off-Peak,1.0,,1.0,20,Approved
2024-08-04,2024-09-11,Business,UK,Delhi,Peak,,1.0,,38,Approved
2024-07-15,2024-08-11,Student,India,Paris,Off-Peak,0.0,1.0,1.0,27,Approved
2024-01-01,2024-03-18,Work,China,Beijing,Peak,0.0,1.0,0.0,77,Approved
2024-06-10,2024-07-31,Work,Brazil,Sydney,Off-Peak,0.0,1.0,1.0,51,Approved
2024-09-11,2024-10-13,Tourist,USA,London,Peak,0.0,0.0,1.0,32,Approved
2024-12-03,2025-01-08,Student,USA,Berlin,Off-Peak,1.0,,1.0,36,Approved
2024-02-20,2024-03-22,Tourist,Australia,Sydney,Off-Peak,1.0,0.0,1.0,31,Denied
2024-07-23,2024-09-10,Business,Brazil,Paris,Off-Peak,,0.0,1.0,49,Approved
2024-12-25,2025-02-07,Student,Australia,Sydney,Peak,1.0,1.0,1.0,44,Approved
2024-04-01,2024-07-01,Work,France,Mumbai,Peak,0.0,,0.0,91,Approved
2024-03-13,2024-06-07,Work,USA,Mumbai,Peak,,1.0,0.0,86,Denied
2024-01-08,2024-03-01,Student,Australia,Paris,Peak,1.0,1.0,0.0,53,Approved
2024-12-30,2025-03-12,Work,China,Berlin,Peak,1.0,1.0,1.0,72,Approved
2024-10-20,2024-12-02,Work,Germany,Sydney,Off-Peak,0.0,1.0,1.0,43,Approved
2024-10-26,2024-12-18,Student,India,Delhi,Peak,1.0,1.0,1.0,53,Denied
2024-04-20,2024-04-23,Tourist,China,Sydney,Off-Peak,0.0,1.0,1.0,3,Approved
2024-08-16,2024-09-21,Business,China,Beijing,Off-Peak,0.0,0.0,1.0,36,Approved
2024-05-31,2024-07-14,Business,USA,Beijing,Off-Peak,,,0.0,44,Denied
2024-01-04,2024-02-10,Business,UK,London,Off-Peak,1.0,1.0,0.0,37,Denied
2024-06-21,2024-08-01,Tourist,China,Sydney,Peak,1.0,1.0,0.0,41,Approved
2024-11-15,2024-12-09,Business,India,Berlin,Peak,0.0,1.0,1.0,24,Approved
2024-05-17,2024-07-09,Tourist,USA,Mumbai,Off-Peak,,0.0,0.0,53,Approved
2024-04-03,2024-04-27,Tourist,India,Delhi,Peak,0.0,1.0,1.0,24,Denied
2024-01-01,2024-03-04,Business,Germany,Delhi,Off-Peak,1.0,0.0,0.0,63,Approved
2024-03-18,2024-05-11,Business,USA,Beijing,Peak,0.0,0.0,0.0,54,Denied
2024-12-18,2025-01-17,Business,UK,London,Off-Peak,0.0,0.0,1.0,30,Approved
2024-07-16,2024-10-17,Work,USA,Paris,Off-Peak,1.0,0.0,0.0,93,Approved
2024-06-05,2024-08-19,Student,France,Delhi,Off-Peak,1.0,0.0,0.0,75,Denied
2024-12-18,2025-01-23,Business,USA,Mumbai,Off-Peak,0.0,0.0,1.0,36,Denied
2024-11-19,2024-12-28,Business,UK,Paris,Off-Peak,0.0,,0.0,39,Denied
2024-11-25,2025-03-03,Work,Germany,Beijing,Peak,1.0,0.0,1.0,98,Approved
2024-04-13,2024-06-28,Work,France,London,Off-Peak,0.0,0.0,0.0,76,Approved
2024-02-20,2024-03-03,Tourist,Australia,Sydney,Off-Peak,0.0,1.0,0.0,12,Approved
2024-11-08,2024-12-08,Tourist,France,Mumbai,Off-Peak,1.0,1.0,0.0,30,Denied
2024-06-02,2024-07-22,Tourist,France,Delhi,Off-Peak,1.0,0.0,0.0,50,Approved
2024-12-29,2025-02-17,Student,China,Beijing,Off-Peak,0.0,0.0,1.0,50,Approved
2024-06-02,2024-07-21,Business,India,Delhi,Peak,0.0,0.0,1.0,49,Approved
2024-02-18,2024-03-19,Business,USA,London,Off-Peak,0.0,,1.0,30,Approved
2024-10-12,2024-12-11,Student,USA,London,Peak,0.0,0.0,0.0,60,Approved
2024-05-11,2024-07-13,Business,India,Mumbai,Off-Peak,1.0,,0.0,63,Approved
2024-10-14,2024-12-09,Student,USA,Mumbai,Off-Peak,0.0,0.0,0.0,56,Denied
2024-08-26,2024-10-22,Student,Germany,Sydney,Peak,1.0,1.0,,57,Approved
2024-06-13,2024-07-19,Business,Australia,London,Off-Peak,1.0,1.0,,36,Approved
2024-02-05,2024-03-23,Student,India,Sydney,Peak,0.0,1.0,0.0,47,Approved
2024-01-20,2024-04-11,Work,UK,Mumbai,Peak,0.0,0.0,1.0,82,Approved
2024-07-20,2024-09-18,Student,Brazil,Mumbai,Off-Peak,1.0,1.0,0.0,60,Approved
